region,year,avg mark from eng
Івано-Франківська область,2020,150.5200823892894
Хмельницька область,2020,145.90513833992094
Луганська область,2020,140.03985239852398
Чернівецька область,2020,149.67520117044623
Донецька область,2019,140.41530740276036
Закарпатська область,2019,144.6187134502924
Сумська область,2019,143.71140142517814
Запорізька область,2019,142.5653166001141
Кіровоградська область,2020,145.68538011695907
Чернігівська область,2019,144.1514657980456
Рівненська область,2019,144.83370288248338
Херсонська область,2019,141.55096097845077
Тернопільська область,2019,146.57004002287022
Черкаська область,2019,144.27413127413126
Вінницька область,2020,146.28309265944645
м.Київ,2020,155.13377926421404
Тернопільська область,2020,149.9585398828301
Луганська область,2019,139.08990825688073
Полтавська область,2020,146.60500352360816
Київська область,2020,145.96582498911624
Житомирська область,2019,143.7922077922078
Миколаївська область,2020,142.39846088071826
Черкаська область,2020,147.0854017669331
Закарпатська область,2020,146.01600753295668
Житомирська область,2020,144.3374074074074
Одеська область,2019,143.7979300147856
Харківська область,2020,148.14274385408407
Полтавська область,2019,146.25895087427145
Вінницька область,2019,144.2816091954023
м.Київ,2019,155.56890931884664
Дніпропетровська область,2020,144.7807594936709
Волинська область,2020,148.98235887096774
Дніпропетровська область,2019,143.01909454881428
Херсонська область,2020,142.90807675145024
Хмельницька область,2019,145.46082337317398
Миколаївська область,2019,141.52469135802468
Запорізька область,2020,144.5391959798995
Чернівецька область,2019,150.13958333333332
Івано-Франківська область,2019,147.4249775381851
Львівська область,2019,150.25003563791876
Львівська область,2020,151.87167356593733
Харківська область,2019,146.7976888293418
Кіровоградська область,2019,144.66349809885932
Рівненська область,2020,147.8226232394366
Чернігівська область,2020,147.79261777561922
Волинська область,2019,149.53493834409866
Київська область,2019,142.94407800401493
Сумська область,2020,145.8170478170478
Одеська область,2020,144.96730523627076
Донецька область,2020,141.4626119010005
